"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","51,500",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","382,460,000",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","170,000",""
"SURVEY","2017","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.3",""
"SURVEY","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","5,900",""
"SURVEY","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","8,014,000",""
"SURVEY","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","16,900",""
"SURVEY","2017","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.86",""
"SURVEY","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","740",""
"SURVEY","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,538,000",""
"SURVEY","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","780",""
"SURVEY","2017","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.05",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","50,900",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","351,240,000",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","113,000",""
"SURVEY","2016","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.22",""
"SURVEY","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","6,000",""
"SURVEY","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","19,080,000",""
"SURVEY","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","24,100",""
"SURVEY","2016","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.02",""
"SURVEY","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","800",""
"SURVEY","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,934,000",""
"SURVEY","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","950",""
"SURVEY","2016","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.19",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","52,000",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","412,050,000",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","201,000",""
"SURVEY","2015","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.87",""
"SURVEY","2015","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","6,800",""
"SURVEY","2015","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","20,339,000",""
"SURVEY","2015","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","27,300",""
"SURVEY","2015","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.01",""
"SURVEY","2015","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","850",""
"SURVEY","2015","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,481,000",""
"SURVEY","2015","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","690",""
"SURVEY","2015","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","0.81",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","51,500",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","303,800,000",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","140,000",""
"SURVEY","2014","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.72",""
"SURVEY","2014","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","7,000",""
"SURVEY","2014","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","21,320,000",""
"SURVEY","2014","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","32,500",""
"SURVEY","2014","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.64",""
"SURVEY","2014","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","750",""
"SURVEY","2014","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,258,000",""
"SURVEY","2014","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","440",""
"SURVEY","2014","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","0.59",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","53,800",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","333,760,000",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","149,000",""
"SURVEY","2013","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.77",""
"SURVEY","2013","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","7,000",""
"SURVEY","2013","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","26,586,000",""
"SURVEY","2013","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","33,400",""
"SURVEY","2013","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.77",""
"SURVEY","2013","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","650",""
"SURVEY","2013","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","1,040,000",""
"SURVEY","2013","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","520",""
"SURVEY","2013","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","0.8",""
"SURVEY","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2012","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED"," (NA)",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","52,200",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","381,975,000",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","231,500",""
"SURVEY","2011","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.43",""
"SURVEY","2011","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","7,400",""
"SURVEY","2011","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","23,512,000",""
"SURVEY","2011","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","31,100",""
"SURVEY","2011","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.2",""
"SURVEY","2011","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","350",""
"SURVEY","2011","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","560,000",""
"SURVEY","2011","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","350",""
"SURVEY","2011","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2010","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","52,200",""
"SURVEY","2010","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","460,560,000",""
"SURVEY","2010","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","151,500",""
"SURVEY","2010","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","2.9",""
"SURVEY","2010","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","7,400",""
"SURVEY","2010","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","18,000,000",""
"SURVEY","2010","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","22,500",""
"SURVEY","2010","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.04",""
"SURVEY","2010","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","330",""
"SURVEY","2010","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","508,000",""
"SURVEY","2010","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","330",""
"SURVEY","2010","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1",""
"SURVEY","2009","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","58,500",""
"SURVEY","2009","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","414,948,000",""
"SURVEY","2009","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","274,800",""
"SURVEY","2009","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","4.7",""
"SURVEY","2009","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","7,400",""
"SURVEY","2009","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","13,920,000",""
"SURVEY","2009","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","23,200",""
"SURVEY","2009","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.14",""
"SURVEY","2009","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","370",""
"SURVEY","2009","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","718,000",""
"SURVEY","2009","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","520",""
"SURVEY","2009","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.41",""
"SURVEY","2008","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","65,000",""
"SURVEY","2008","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","200,640,000",""
"SURVEY","2008","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","88,000",""
"SURVEY","2008","YEAR","","STATE","CALIFORNIA","06","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.35",""
"SURVEY","2008","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","7,500",""
"SURVEY","2008","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","13,176,000",""
"SURVEY","2008","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","27,450",""
"SURVEY","2008","YEAR","","STATE","FLORIDA","12","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","3.66",""
"SURVEY","2008","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - ACRES BEARING","TOTAL","NOT SPECIFIED","330",""
"SURVEY","2008","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN $","TOTAL","NOT SPECIFIED","730,000",""
"SURVEY","2008","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - PRODUCTION, MEASURED IN TONS","TOTAL","NOT SPECIFIED","500",""
"SURVEY","2008","YEAR","","STATE","HAWAII","15","","","","","","","00000000","","AVOCADOS","AVOCADOS - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","1.52",""
